question,answer
wow that 's really cool ? kinda . i watch the tvs at sears sometimes .,"['the', 'rules', ',', 'i', 'is', 'volley', 'every', '.', '.', '.']"
i have n't read english as good . but size six womens is foot size mine !,"['i', 'have', 'during', 'in', 'in', 'volley', 'every', '.', '.', '.']"
i sell washers frequently . i do n't get out much,"['i', 'sell', 'during', 'for', 'comes', 'for', '.', '.', '.', '.']"
i can prescribe so music . red hot chili peppers is music for the soul,"['i', 'can', 'too', 'when', 'comes', 'every', '.', '.', '.', '.']"
great band . i hope all feel better and get those meds,"['my', ',', 'has', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
ahahah . now where are my size six shoes . . . they are womens size,"['someday', 'makes', 'my', 'i', 'i', 'i', 'in', 'all', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
my name is maria how are you,"['my', ',', 'makes', 'is', 'is', 'is', 'in', '.', '.', '.']"
yeah and used be a cheer leader back in high school,"['whittling', 'is', 'is', 'i', 'is', 'is', 'is', 'in', 'in', 'or']"
not outside call of duty no my husband got me into that game,"['its', 'rules', 'makes', 'i', 'i', 'and', 'in', 'in', 'or', 'all']"
yes i do herb for my migraines raising 2 kids is nauseating,"['someday', ',', 'makes', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
retail therapy helps me zen from reality maybe you should try,"['until', 's', ',', 'i', 'i', 'is', 'is', 'in', 'or', 'all']"
no family first is us or we would not live in celebration florida,"['regular', 'in', 'makes', 'are', 'is', 'is', 'is', 'in', 'is', 'or']"
yes it was not fun especially in heels,"['penn', 'makes', 'makes', 'i', 'i', 'is', 'is', 'all', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hello there , how are you ?","['although', 'makes', 'i', 'is', 'is', 'is', 'me', '.', '.', '.']"
"that 's not fun , i hope things work out","[""i'ven"", 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'in', 'all']"
i do have family . do you read magazines ?,"['i', 'work', 'for', 'when', 'everyday', '.', '.', '.', '.', '.']"
"i listen to coldplay sometimes , the song yellow","['i', 'eat', 'in', 'for', 'in', 'and', 'for', 'a', '.', '.']"
"no , teal is . do you game ?","['regular', 'is', 'my', 'is', 'is', 'is', '.', '.', '.', '.']"
i really love the game halo,"['i', 'watch', 'during', 'for', 'in', 'a', '.', '.', '.', '.']"
i love baked foods . i workout right after,"['i', 'love', 'is', 'in', 'i', 'volley', 'at', '.', '.', '.']"
"yes , i do . what do you like on pizza ?","['until', 'cleats', 'i', 'is', '.', '.', '.', '.', 'last', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi how are you doing,"['someday', ',', 'makes', 'is', 'essential', '.', '.', '.', '.', '.']"
how old is your dog,"['relly', ',', 'is', 'is', 'volley', '.', '.', '.', '.', '.']"
i do not have any pets,"['i', 'do', 'for', 'in', 'and', 'and', '.', '.', '.', '.']"
its like a fluffy alarm clock,"['i', 'like', 'is', 'is', 'is', 'is', '.', '.', '.', '.']"
i 've 2 kids and i am looking for a job,"['i', 'help', 'more', 'for', 'in', 'for', 'for', 'a', 'for', 'all']"
that sould be so nice of you,"['someday', 'scare', 'my', 'i', 'i', 'is', 'me', '.', '.', '.']"
yeah i feel you do you like music,"['although', 'i', 'has', 'i', 'comes', 'is', 'in', 'in', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hey , my name is amanda and you are ?","['although', 'cleats', 'i', 'is', 'is', 'is', 'in', 'in', 'is', 'all']"
nice to meet you too .,"[""i'ven"", 'cleats', 'my', 'is', '.', '.', '.', '.', '.', '.']"
what vegetables do you dislike ? i definitely do not eat carrots !,"['regular', 'rules', ',', 'i', 'i', 'is', 'in', 'in', 'in', 'all']"
never ate that . are you athletic ? i am not right now since i am pregnant with twins !,"['i', 'tend', 'makes', 'i', 'i', 'is', 'is', '.', '.', '.']"
"i want know until monday . . yes , that definitely does count , lol !","['i', 'don', 'is', 'is', '.', '.', '.', '.', '.', '.']"
i hate my hours too . i sometimes work 12 16 hours sometimes .,"['i', 'hate', 'in', 'with', 'in', 'for', 'for', 'in', 'for', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi there ! are you a student or do you have a job already ?,"['until', 'cleats', 'i', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
i go to michigan state and i am a barista so i can have a little cash .,"['i', 'go', 'in', 'in', 'in', 'local', 'and', 'a', 'or', 'or']"
what do you want to write ? like books ? or screenplays ?,"['ocd', 'a', ',', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
i prefer to sing . i like show tunes the best !,"['i', 'prefer', 'has', 'in', 'and', 'for', '.', '.', '.', '.']"
do you have any pets ? are you married ?,"['its', 'rules', ',', 'i', 'i', 'is', 'in', 'in', 'or', '.']"
i 've a cat . her name is seven of nine .,"['i', 'sit', 'about', 'for', 'i', 'and', 'for', 'every', '.', '.']"
i love star trek of course !,"['i', 'like', 'playing', 'in', 'are', 'volley', 'and', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hi , i totally love myself today .","['someday', ',', 'i', 'i', 'i', 'is', 'me', '.', '.', '.']"
"you must be super fit , i have been trying on outfits , looking fabulous .","['regular', 'makes', 'makes', 'is', 'is', 'is', 'is', 'in', 'for', 'or']"
"ug , i hate that . how you look is more important than a car anyway .","['until', 'cleats', 'i', 'i', 'is', 'is', 'in', '.', '.', '.']"
"nice , that 's with horses right ?","['someday', ',', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
"that sounds awesome , do you love it when people watch you play ?","['until', 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'in', 'all']"
"i understand , if you put in the work , why not enjoy the rewards","['i', 'drink', 'about', 'for', 'in', 'and', 'for', 'a', 'a', 'or']"
"not much , work out , shop , design a bit here and there .","['its', 'rules', ',', 'i', 'volley', 'has', 'in', 'in', 'or', 'all']"
"hair accessories and sometimes top design , i prefer modeling but sometimes i have good ideas","['grandma', 'is', 'is', 'is', 'is', 'is', 'in', 'in', 'is', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hey there , this is jason . i am writing my first novel .","['grandma', 'is', 'is', 'is', 'is', 'is', 'every', '.', '.', '.']"
may i know with whom i 'm talking with,"['this', ',', 'i', 'i', 'comes', 'is', 'in', 'in', 'in', 'all']"
"hey dan , may i know your hobbies","['laziness', 'is', 'is', 'i', 'is', 'is', 'is', 'all', '.', '.']"
yeah man i did,"['relly', ',', 'is', 'is', '.', '.', '.', '.', '.', '.']"
it was with connor vs floyd,"['it', 's', 'is', 'are', 'is', 'is', '.', '.', '.', '.']"
it is a crime mystery . .,"['it', 'snorkeling', 'makes', 'are', '.', '.', '.', '.', '.', '.']"
thanks a lot ! lets see . it is my first .,"['the', 'in', 'makes', 'is', 'is', 'is', 'every', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello ! do you have a moment to listen to my story ?,"['regular', 'free', 'makes', 'i', 'is', 'is', 'is', 'in', 'in', 'all']"
"let me tell you , i 've gone from bankrupt to rich in just a few short years .","['regular', 'a', 'makes', 'i', 'is', 'is', 'in', 'in', 'or', 'or']"
i used to run a casino and got greedy .,"['i', 'used', 'in', 'i', 'comes', 'is', 'for', 'in', '.', '.']"
i wanted it all ! i became a minimalist and am now president .,"['i', 'help', 'more', 'for', 'in', 'for', 'for', 'a', 'for', 'for']"
it is indeed . live beneath your means .,"['helping', 'is', 'makes', 'is', 'is', 'every', '.', '.', '.', '.']"
it is worth it to me . money is everything .,"['it', 'snorkeling', 'makes', 'i', 'is', 'is', 'is', 'all', '.', '.']"
"that 's true , i was a very selfish man for years .","[""i'ven"", 'cleats', 'i', 'i', 'i', 'is', 'in', 'in', 'in', 'all']"
i am ready to find someone now,"['i', 'live', 'like', 'in', 'are', 'and', 'and', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
do you like to shop ?,"['unfortunately', ',', 'i', 'i', 'volley', 'is', '.', '.', '.', '.']"
shopping is my favorite thing to do .,"['winter', 'is', 'makes', 'is', 'is', 'is', 'me', '.', '.', '.']"
why were you on the news ?,"['menudo', 'is', 'is', 'is', 'is', 'is', 'every', '.', '.', '.']"
i totally wish i could be on t . v . one day . my friends would love it !,"['i', 'help', 'more', 'for', 'in', 'for', 'for', 'every', '.', '.']"
do you work on fish boats too ?,"['although', 'is', 'makes', 'i', 'i', 'is', 'is', 'in', '.', '.']"
taxi ? i 'm more of a bmw person .,"['currently', ',', 'i', 'i', 'i', 'i', 'in', 'in', '.', '.']"
do you have a big group of friends ?,"['its', 'rules', 'makes', 'i', 'i', 'is', 'in', 'in', 'hot', '.']"
i 've a large group of friends . we are all pretty close .,"['i', 'notice', 'are', 'for', 'i', 'and', 'every', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hey do you like john grisham ?,"['whittling', 'makes', 'jewelry', 'i', 'is', 'is', 'me', '.', '.', '.']"
"i really enjoy his movies , but his books . i play guitar too !","['i', 'do', 'during', 'for', 'comes', 'for', 'a', 'oakville', '.', '.']"
my girlfriend says she is going to dump me for not eating meat,"['my', 'once', 'makes', 'i', 'just', 'is', 'is', 'all', 'or', 'or']"
i also hate pants so she says that everyday . what do you do ?,"['i', 'work', 'for', 'in', 'and', 'for', 'for', 'record', '.', '.']"
my parents used to be senators but then they wanted to be good people,"['my', 'scare', 'i', 'i', 'is', 'is', 'is', 'in', 'is', 'all']"
i do not live with them they left politics and downgraded so i had to move out,"['i', 'do', 'for', 'to', 'and', 'and', 'a', 'a', 'or', 'or']"
haha i am having behavioral problems ? you sound like my girlfriend,"['it', 'likes', 'my', 'i', 'i', 'i', 'in', 'in', 'in', 'or']"
maybe . . . i just like to play guitar all day,"['my', ',', 'has', '.', '.', '.', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hey i am samantha what is your name ?,"['although', 'i', 'is', 'i', 'i', 'and', 'in', 'in', 'in', '.']"
not a problem by the way do you know anything about computers my laptop battey is n't working,"['people', 'in', ',', 'i', 'is', 'and', 'for', 'in', 'or', 'or']"
i do n't have much time for the gym between my college courses,"['i', 'do', 'in', 'in', 'and', 'and', 'a', 'a', 'or', 'or']"
yes it is but in my spare time i write short stories . do you like animals ?,"['ocd', 'rules', ',', 'i', 'is', 'is', 'is', 'in', 'or', 'all']"
oh ok that 's might be good from a philosophical stand point .,"['until', 'a', 'my', 'i', 'i', 'is', 'is', 'in', 'or', 'all']"
yuck i am more of a cat person and i love tigers,"[""i'ven"", 'scare', 'my', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
what do you tutor kids in my history class is too hard this semester,"['ocd', 'rules', ',', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
well i guess you 'll not be able to help with college courses,"['it', 'likes', 'my', 'i', 'i', 'and', 'in', 'in', 'or', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
it is so beautiful out ! i love fall .,"['it', 'quake', 'makes', 'i', 'is', 'is', 'is', 'all', '.', '.']"
i live in ca . it is perfect here . we do not get seasons much though .,"['i', 'live', 'in', 'in', 'in', 'for', 'jeopardy', '.', '.', '.']"
"i am in college as well , i work as a lifeguard so our busy season is ending .","['i', 'live', 'in', 'in', 'in', 'and', 'for', 'a', 'and', 'or']"
"all that matters is happiness . as long as you are happy , party !","['until', 'my', 'my', 'i', 'is', 'is', 'every', '.', '.', '.']"
"ah , young love . that sounds great .","['although', 'cleats', 'i', 'is', 'is', '.', '.', '.', '.', '.']"
you could be a lifeguard and drive a yellow convertible like me .,"['regular', 'in', 'makes', 'is', 'is', 'is', 'is', 'in', 'for', 'all']"
lifeguard probably is n't the best option then . you must be young at heart .,"['grandma', 'makes', 'makes', 'is', 'is', 'is', 'is', 'every', '.', '.']"
yes ! it is great . it rarely rains here but when it does i put the top down .,"['rita', 'rules', 'makes', 'i', 'is', 'is', 'in', 'all', 'hot', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi . . how was your weekend ? ?,"['someday', ',', 'has', '.', '.', '.', '.', '.', '.', '.']"
playing video games most of the time,"['regular', 'is', 'i', 'is', 'is', 'is', 'me', '.', '.', '.']"
what is your favorite one ?,"['upright', '.', ',', 'is', 'volley', 'volley', '.', '.', '.', '.']"
hm . . i liked those games lot than todays grafts,"['paps', 'is', 'is', '.', '.', '.', '.', '.', '.', '.']"
duck hunt was a classic,"['although', 'and', 'i', 'is', 'volley', '.', '.', '.', '.', '.']"
right . . i miss those days . .,"['we', 'teller', 'is', '.', '.', '.', '.', '.', '.', '.']"
wonderful . . i 've a family,"['my', 'scare', 'is', '.', '.', '.', '.', '.', '.', '.']"
some times yes . . but i kind of like them . .,"['the', 'rules', '.', '.', '.', '.', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi ! how are you tonight ?,"['someday', ',', 'makes', 'i', 'i', 'is', 'me', '.', '.', '.']"
what kind of game were you playing ?,"['regular', 'makes', 'i', 'i', 'is', 'is', 'in', 'all', '.', '.']"
"wow ! a professional athlete ! i hope to be famous , too . for music though .","['its', 'rules', ',', 'i', 'i', 'and', 'in', 'in', 'or', 'all']"
i 'd never make it on the football field . i 'd be trampled .,"['i', 'don', 'fell', 'for', 'comes', 'for', 'for', 'school', '.', '.']"
"i made 128 coffees last week , believe it or not ;","['i', 'broke', 'in', 'for', 'that', 'and', 'for', 'a', 'for', 'all']"
did you go to the coffee shop where the grunge bands play ? that 's it !,"[""i'ven"", 'cleats', 'i', 'i', 'volley', 'is', 'in', 'in', 'or', 'all']"
my sis made that drink up ! she plays in the grunge band with me .,"['my', 'found', 'is', 'are', 'comes', 'and', 'for', 'in', 'or', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hello , how are you doing ?","['although', ',', 'i', 'is', 'is', 'is', 'me', '.', '.', '.']"
interesting . what is your favorite food ?,"['my', 'scare', 'my', 'i', 'i', 'is', 'in', 'all', '.', '.']"
i understand that . that is what i always crave after a long night in the pool .,"['i', 'drink', 'my', 'for', 'has', 'and', 'for', 'a', '.', '.']"
i avoid veggies . yoga is what keeps me healthy during a long work week lol,"['i', 'usually', 'like', 'for', 'in', 'for', 'every', '.', '.', '.']"
it is ! it helps keep your mind sharp and helps reach your goals,"['it', 'makes', 'makes', 'i', 'is', 'is', 'is', 'in', 'or', 'or']"
that is a shame . shopping time ! good luck !,"[""i'ven"", 'after', 'makes', 'i', 'i', 'is', 'is', 'all', '.', '.']"
its so fun ! i really need to slow down though,"['its', 'cleats', 'i', 'i', 'i', 'is', 'is', 'in', 'in', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"good morning , assuming its morning where you are .","['regular', 'free', 'my', 'i', 'volley', 'is', 'in', 'all', '.', '.']"
thank you . have any interesting plans for this evening ?,"['until', ',', 'i', 'i', 'i', 'is', 'is', 'in', 'in', '.']"
